candidate,evaluation
asymmetry,FALSE
muscle fiber,FALSE
ftx muscle fiber,FALSE
st muscle fiber,FALSE
muscle fiber type,FALSE
single muscle fiber,FALSE
arm stroke,FALSE
underwater arm stroke,FALSE
breaststroke arm stroke,FALSE
left arm stroke,FALSE
backstroke arm stroke,FALSE
arm stroke pattern,FALSE
upsweep,FALSE
final upsweep,FALSE
long final upsweep,FALSE
propulsive final upsweep,FALSE
substantial final upsweep,FALSE
swimming performance,FALSE
good swim performance,FALSE
adolescent swim performance,FALSE
collegiate swim performance,FALSE
periodization swimming performance,FALSE
anaerobic swimming performance,FALSE
sprint swimming performance,FALSE
aerobic capacity,FALSE
aerobic metabolic capacity,FALSE
aerobic and anaerobic capacity,FALSE
competitive swimmer,FALSE
competitive crawl stroke swimmer,FALSE
elite competitive swimmer,FALSE
male competitive swimmer,FALSE
coaching application,FALSE
insweep,FALSE
fast twitch muscle fiber,FALSE
slow twitch muscle fiber,FALSE
forward velocity,FALSE
great forward velocity,FALSE
propulsive force,FALSE
dominant propulsive force,FALSE
combined propulsive force,FALSE
high-intensity,FALSE
high - intensity,FALSE
training load,FALSE
sport medicine,FALSE
backstroke swimmer,FALSE
three-peak backstroke swimmer,FALSE
elite backstroke swimmer,FALSE
training zone,FALSE
zone of endurance training,FALSE
anaerobic training zone,FALSE
aerobic training zone,FALSE
front view stroke pattern,FALSE
side view stroke pattern,FALSE
probable stroke pattern,FALSE
usa swimming coach,FALSE
overuse injury,FALSE
overuse shoulder injury,FALSE
overuse injury prevention,FALSE
sports-related overuse injury,FALSE
propulsive phase,FALSE
propulsive phase of insweep,FALSE
relay exchange time,FALSE
standardized relay exchange time,FALSE
short relay exchange time,FALSE
average relay exchange time,FALSE
anaerobic threshold,FALSE
aerobic and anaerobic threshold,FALSE
intermittent hypoxic exposure,FALSE
body composition,FALSE
body composition parameter,FALSE
swim performance,FALSE
swim performance datum,FALSE
shoulder pain,FALSE
isolated anterior shoulder pain,FALSE
intensity training,FALSE
low intensity training,FALSE
intensity interval training,FALSE
high intensity training,FALSE
moderate intensity training,FALSE
female swimmer,FALSE
female collegiate swimmer,FALSE
female division i swimmer,FALSE
collegiate female swimmer,FALSE
male and female swimmer,FALSE
elite female swimmer,FALSE
breaststroke swimmer,FALSE
elite breaststroke swimmer,FALSE
competitive swimming,FALSE
blood lactate,FALSE
blood lactate concentration,FALSE
velocity graph,FALSE
forward velocity graph,FALSE
mass forward velocity graph,FALSE
thoracic and lumbar alignment,FALSE
fast twitch fiber,FALSE
training volume,FALSE
volume and intensity of training,FALSE
aerobic metabolism,FALSE
aerobic and anaerobic metabolism,FALSE
anaerobic and aerobic metabolism,FALSE
coordination,FALSE
body roll,FALSE
considerable body roll,FALSE
streamline position,FALSE
underwater streamline position,FALSE
fiber type,FALSE
type of muscle fiber,FALSE
hand force,FALSE
average hand force,FALSE
depressed hand force,FALSE
hand force curve,FALSE
endurance training,FALSE
traditional endurance training,FALSE
swimming speed,FALSE
speed of breastroke swimming,FALSE
adduction,FALSE
slow twitch fiber,FALSE
coach-created motivational climate,FALSE
mastery-oriented motivational climate,FALSE
appl,FALSE
body mass,FALSE
body mass index,FALSE
maturational timing,FALSE
lumbar lordosis angle,FALSE
stroke cycle,FALSE
training effect,FALSE
effect of hiit training,FALSE
effect of altitude training,FALSE
upper limb,FALSE
upper and low limb,FALSE
dominant upper limb,FALSE
motor unit,FALSE
master swimmer,FALSE
competitive master swimmer,FALSE
journal of sport science,FALSE
mitochondrion,FALSE
biomechanic,FALSE
stroke length,FALSE
average stroke length,FALSE
collegiate swimmer,FALSE
horizontal,FALSE
aerobic and anaerobic endurance,FALSE
stroke rate,FALSE
fast stroke rate,FALSE
average stroke rate,FALSE
young swimmer,FALSE
shoulder adduction,FALSE
upper arm,FALSE
upper and low arm,FALSE
elite swimmer,FALSE
elite front crawl swimmer,FALSE
senior elite swimmer,FALSE
present study,FALSE
online,FALSE
anaerobic capacity,FALSE
anaerobic energy system capacity,FALSE
anaerobic metabolic capacity,FALSE
midline,FALSE
resistance of water,FALSE
water resistance,FALSE
simulated front crawl,FALSE
personal good time,FALSE
oxygen consumption,FALSE
maximal oxygen consumption,FALSE
resting oxygen consumption,FALSE
low limb,FALSE
swimming coach,FALSE
american swim coach,FALSE
successful swim coach,FALSE
variability,FALSE
anaerobic threshold velocity,FALSE
lactate threshold,FALSE
lactate threshold speed,FALSE
swimming stroke,FALSE
sport exerc,FALSE
sport exerc psychol,FALSE
aerobic training,FALSE
aerobic and anaerobic training,FALSE
repeated sprint training,FALSE
stroke technique,FALSE
nutritional,FALSE
symmetrical,FALSE
impingement,FALSE
drag force,FALSE
active drag force,FALSE
underwater group,FALSE
swim coach,FALSE
high-intensity training,FALSE
high-intensity intermittent training,FALSE
metabolite,FALSE
capacity of slow twitch,FALSE
bilaterally,FALSE
shoulder angle,FALSE
propulsive sweep,FALSE
repeat set,FALSE
late maturers,FALSE
en-2,FALSE
team exchange time,FALSE
flexion,FALSE
competitive season,FALSE
competitive collegiate season,FALSE
crawl stroke,FALSE
crawl stroke swimming,FALSE
sprint front crawl stroke,FALSE
acclimatization,FALSE
velocity,FALSE
pain scale,FALSE
functional pain scale,FALSE
self-reported pain scale,FALSE
arm recovery,FALSE
vertical handgrip,FALSE
horizontal or vertical handgrip,FALSE
anaerobic metabolism,FALSE
spinal alignment,FALSE
effect of training,FALSE
athletic performance,FALSE
repeat distance,FALSE
curvilinear,FALSE
recovery time,FALSE
adequate recovery time,FALSE
performance improvement,FALSE
yardage,FALSE
psychological skill,FALSE
bilateral asymmetry,FALSE
previous study,FALSE
side view,FALSE
side view of breaststroke,FALSE
aerobic threshold,FALSE
current study,FALSE
outsweep,FALSE
variant with foot,FALSE
front crawl swimming,FALSE
training strategy,FALSE
hand photo,FALSE
left hand photo,FALSE
hand photo of zubero,FALSE
colorado spring,FALSE
swim training,FALSE
backstroke stroke,FALSE
range of motion,FALSE
swimming training,FALSE
ohio state university,FALSE
sport psychology,FALSE
applied sport psychology,FALSE
muscle imbalance,FALSE
water temperature,FALSE
performance datum,FALSE
relay performance datum,FALSE
active drag,FALSE
bilateral difference,FALSE
human skeletal muscle,FALSE
maximum effort,FALSE
body shape,FALSE
linear body shape,FALSE
coaching behavior,FALSE
oxygen uptake,FALSE
training speed,FALSE
en-3,FALSE
training intensity,FALSE
duration and intensity of training,FALSE
agonist,FALSE
swimming event,FALSE
elite swimming event,FALSE
training velocity,FALSE
short rest,FALSE
competitive stroke,FALSE
three-peak,FALSE
backstroke event,FALSE
backward force,FALSE
med sci sport exerc,FALSE
champion swimmer,FALSE
sideward,FALSE
downward,FALSE
novice swimmer,FALSE
mass of water,FALSE
active recovery,FALSE
active and passive recovery,FALSE
split time,FALSE
angle of attack,FALSE
standing position,FALSE
resistive drag,FALSE
purpose of study,FALSE
purpose of present study,FALSE
primary purpose of study,FALSE
good alignment,FALSE
endurance athlete,FALSE
elite endurance athlete,FALSE
fast speed,FALSE
strength cond,FALSE
en-1 zone,FALSE
competitive level,FALSE
competitive level of swimmer,FALSE
side of body,FALSE
swimming world championship,FALSE
repeated sprint,FALSE
performance and body composition,FALSE
swimming velocity,FALSE
maximum swimming velocity,FALSE
breathing problem,FALSE
stress-related breathing problem,FALSE
backstroke heat,FALSE
body fat,FALSE
lift force,FALSE
fat mass,FALSE
moderate intensity,FALSE
dynamic warm-up,FALSE
pulmonary function,FALSE
effect size,FALSE
surface group,FALSE
underside,FALSE
injury risk,FALSE
risk of overuse injury,FALSE
overuse injury risk,FALSE
foundation of coaching,FALSE
ernest,FALSE
linear,FALSE
natation,FALSE
self-reported,FALSE
distance runner,FALSE
vortex,FALSE
side dominance,FALSE
motor nerve,FALSE
extended arm,FALSE
middle of season,FALSE
wave drag,FALSE
fiber recruitment,FALSE
individual swimmer,FALSE
decrement,FALSE
website,FALSE
web site,FALSE
adaptive,FALSE
training distance,FALSE
ftx fiber,FALSE
ftx fiber of human,FALSE
in-water,FALSE
training regimen,FALSE
aquatic,FALSE
early adolescence,FALSE
anthropometric,FALSE
deceleration,FALSE
international symposium,FALSE
xix international symposium,FALSE
normoxia,FALSE
week of training,FALSE
training week,FALSE
modern-day,FALSE
core,FALSE
swim time,FALSE
timing and swim performance,FALSE
propulsive peak,FALSE
erector spinae muscle,FALSE
european journal,FALSE
relay team,FALSE
swimming relay team,FALSE
health care provider,FALSE
capillary,FALSE
net force,FALSE
aerobic endurance,FALSE
tethered swimming test,FALSE
%mvc,FALSE
drag-dominated propulsion,FALSE
previous research,FALSE
relative contribution,FALSE
cold incapacitation,FALSE
training adaptation,FALSE
optimal training adaptation,FALSE
peripheral training adaptation,FALSE
high horizontal handgrip,FALSE
straight line pull,FALSE
beta-2 agonist,FALSE
red arrow,FALSE
taper period,FALSE
body wave,FALSE
short exchange time,FALSE
male swimmer,FALSE
external rotation,FALSE
internal and external rotation,FALSE
soreness,FALSE
spinous process,FALSE
nova science publisher,FALSE
altitude training,FALSE
boat paddle,FALSE
breaststrokers,FALSE
blood flow,FALSE
muscle blood flow,FALSE
open water,FALSE
cold open water,FALSE
surface of water,FALSE
water surface,FALSE
strength training,FALSE
hypoxic chamber,FALSE
normobaric hypoxic chamber,FALSE
training load group,FALSE
heavy training,FALSE
t100c,FALSE
human swimming,FALSE
mitochondrial density,FALSE
optimal performance,FALSE
higher-performing,FALSE
weak side,FALSE
swimming propulsion,FALSE
human swimming propulsion,FALSE
rotator,FALSE
type of training,FALSE
late adolescence,FALSE
middle and late adolescence,FALSE
three-peak backstroke,FALSE
unique three-peak backstroke,FALSE
internal rotation,FALSE
backstroke start,FALSE
backstroke start technique,FALSE
swimming club,FALSE
norwegian swimming club,FALSE
sport science associate,FALSE
pb success rate,FALSE
streamlining,FALSE
propulsive action,FALSE
sport performance,FALSE
elite-level,FALSE
symptom of overtraining,FALSE
good swimmer,FALSE
maximally,FALSE
health science,FALSE
hydrodynamic,FALSE
method participant,FALSE
total load,FALSE
reverse periodization,FALSE
team relay exchange time,FALSE
short relay exchange,FALSE
healthcare provider,FALSE
scapula,FALSE
degree of narrowness,FALSE
swimming competition,FALSE
vilas boa,FALSE
distance swimmer,FALSE
middle distance swimmer,FALSE
lactate removal rate,FALSE
statistical significance,FALSE
butterfly swimmer,FALSE
skilled butterfly swimmer,FALSE
block configuration,FALSE
vo2max velocity,FALSE
stroke mechanic,FALSE
altered stroke mechanic,FALSE
lactate concentration,FALSE
inclinometer,FALSE
standard deviation,FALSE
shoulder flexibility,FALSE
high frequency,FALSE
laxity,FALSE
training stress,FALSE
slow speed,FALSE
lazy meadow lane prescott,FALSE
catch position,FALSE
movement pattern,FALSE
asymmetrical movement pattern,FALSE
resistive force,FALSE
strength asymmetry,FALSE
american journal of sport medicine,FALSE
elite swimming,FALSE
exercise science,FALSE
training group,FALSE
alignment and trunk muscle,FALSE
youth swimmer,FALSE
int j sport,FALSE
age difference,FALSE
pull phase,FALSE
scapular,FALSE
circadian rhythm,FALSE
likert scale,FALSE
5-point likert scale,FALSE
7-point likert scale,FALSE
handedness,FALSE
sprint swimming,FALSE
upper extremity,FALSE
early maturers,FALSE
soccer player,FALSE
swimming warm-up,FALSE
day of competition,FALSE
lumbar spine,FALSE
extensor,FALSE
shoulder roll,FALSE
maximum shoulder roll,FALSE
capacity and lactate removal,FALSE
strength difference,FALSE
wetsuit,FALSE
hard training,FALSE
low back pain,FALSE
anatomical,FALSE
sprint performance,FALSE
freestyle swimming,FALSE
majority of swimmer,FALSE
perfectionism,FALSE
pressure drag,FALSE
non-dominant side,FALSE
dominant and non-dominant side,FALSE
period of training,FALSE
abdominal muscle,FALSE
three-dimensional,FALSE
tendonitis,FALSE
exercise physiology,FALSE
race time,FALSE
st fiber,FALSE
human performance,FALSE
magnitude of improvement,FALSE
hyperventilation,FALSE
lactic acid,FALSE
long tendon,FALSE
biceps long tendon,FALSE
ergogenic,FALSE
midline of body,FALSE
lumbar extension,FALSE
final upsweep figure,FALSE
exercise performance,FALSE
intense exercise performance,FALSE
physiological parameter,FALSE
underwater swimming,FALSE
misalignment,FALSE
future study,FALSE
elite athlete,FALSE
total distance,FALSE
race speed,FALSE
shoulder problem,FALSE
rate of aerobic metabolism,FALSE
cold shock,FALSE
dominant arm,FALSE
motor skill,FALSE
gross motor skill,FALSE
statistical analysis,FALSE
high elbow,FALSE
vital capacity,FALSE
event entry,FALSE
muscle glycogen,FALSE
altitude exposure,FALSE
simulated altitude exposure,FALSE
exercise intensity,FALSE
similar result,FALSE
coaching education,FALSE
stroke phase,FALSE
phase of arm stroke,FALSE
stroke phase duration,FALSE
effect of asymmetry,FALSE
specific effect of asymmetry,FALSE
out-placed,FALSE
warm-up protocol,FALSE
two-peak style,FALSE
three-peak stroke,FALSE
upsweep or inward scull,FALSE
vertical axis,FALSE
fat-free mass,FALSE
training protocol,FALSE
threshold speed,FALSE
group of rat,FALSE
aerobic period,FALSE
pain level,FALSE
non-dominant arm,FALSE
traditional two-peak backstroke,FALSE
laterality,FALSE
view stroke pattern,FALSE
performance peak,FALSE
swimming race,FALSE
inverse relationship,FALSE
observed asymmetry,FALSE
send-off time,FALSE
lift and drag force,FALSE
maturation,FALSE
preventive measure,FALSE
popular preventive measure,FALSE
rotational effect,FALSE
unbalanced rotational effect,FALSE
performance gain,FALSE
relative swim performance gain,FALSE
intense training,FALSE
athletic environment,FALSE
modern-day backstroker,FALSE
straight pull,FALSE
fibrillation and cardiac health,FALSE
yellow arrow,FALSE
short rest period,FALSE
aerobic metabolic process,FALSE
physiological peak,FALSE
live-high train-low,FALSE
intuitively,FALSE
ergogenic aid,FALSE
terauds,FALSE
short sprint,FALSE
standardized performance score,FALSE
electromyography,FALSE
high training volume,FALSE
quantitative,FALSE
computation,FALSE
buffer capacity,FALSE
muscle buffer capacity,FALSE
period of deceleration,FALSE
alignment of body,FALSE
body alignment,FALSE
aerobic threshold velocity,FALSE
freestyle time,FALSE
postural change,FALSE
butterfly swimming,FALSE
core hypothermia,FALSE
true core hypothermia,FALSE
front of shoulder,FALSE
dominant side,FALSE
model of factor,FALSE
institute of sport,FALSE
optimally,FALSE
early -,FALSE
sample size,FALSE
level swimmer,FALSE
training process,FALSE
technique asymmetry,FALSE
training stimulus,FALSE
confidence interval,FALSE
socio-environmental factor,FALSE
center of mass,FALSE
stroke volume,FALSE
surface of body,FALSE
non-propulsive surface of body,FALSE
subjective well-being,FALSE
hormonal,FALSE
freestyle event,FALSE
50m freestyle event,FALSE
lung volume,FALSE
middle photo,FALSE
middle and right photo,FALSE
responsiveness,FALSE
entire arm,FALSE
physiology of sport and exercise,FALSE
bedingfield,FALSE
fast-twitch,FALSE
peak season,FALSE
solo english channel,FALSE
muscle balance,FALSE
meta-analysis,FALSE
difference be significant,FALSE
youth sport,FALSE
american college of sport medicine,FALSE
participant age,FALSE
phase duration,FALSE
period of rest,FALSE
rest period,FALSE
static stretch,FALSE
scoliosis,FALSE
passive recovery,FALSE
predictor,FALSE
volume of training,FALSE
later-maturing group,FALSE
dolphin-kick,FALSE
american swimmer,FALSE
national-level american swimmer,FALSE
early-maturing swimmer,FALSE
contractile velocity,FALSE
streamline,FALSE
alignment,FALSE
weight training,FALSE
performance result,FALSE
swim bench,FALSE
semi-circular,FALSE
impingement syndrome,FALSE
subacromial impingement syndrome,FALSE
shoulder impingement syndrome,FALSE
fast and slow twitch,FALSE
aim of study,FALSE
severe shingle,FALSE
fina rule,FALSE
current fina rule,FALSE
hand entry,FALSE
emg datum,FALSE
measurement tool,FALSE
shallow catch,FALSE
level of discipline,FALSE
regression,FALSE
error bar,FALSE
intermittent exercise,FALSE
shoulder joint,FALSE
isokinetic,FALSE
laminar,FALSE
science of swimming,FALSE
sea level performance,FALSE
2d method,FALSE
centre of mass,FALSE
training hour,FALSE
nutritional habit,FALSE
proper nutritional habit,FALSE
hypoxic group,FALSE
adequate rest,FALSE
seasonal testing date,FALSE
significant correlation,FALSE
statistical significant correlation,FALSE
fluid flow,FALSE
race distance,FALSE
long repeat,FALSE
training history,FALSE
increment,FALSE
track athlete,FALSE
glide phase,FALSE
informed consent,FALSE
practice time,FALSE
endurance performance,FALSE
secondary en-1 set,FALSE
high-intensive interval training,FALSE
data collection,FALSE
tachycardia,FALSE
hypoxic stimulus,FALSE
low pressure,FALSE
lower-performing,FALSE
qualitative,FALSE
deltoid,FALSE
threshold training,FALSE
fg fiber,FALSE
biomechanical analysis of champion swimmer,FALSE
skilled swimmer,FALSE
resting heart rate,FALSE
increase resistance,FALSE
silvia,FALSE
muscle strength,FALSE
respiratory muscle,FALSE
peak performance,FALSE
descriptive statistic,FALSE
significant main effect,FALSE
primary purpose,FALSE
endurance capacity,FALSE
cycle endurance capacity,FALSE
proper nutrition,FALSE
freestyle relay,FALSE
tethered swim test,FALSE
physical training,FALSE
threshold and vo2max velocity,FALSE
hand path,FALSE
measure of performance,FALSE
performance measure,FALSE
significant decrease,FALSE
aquatics research,FALSE
resistance training,FALSE
cross sectional area,FALSE
bronchial hyperresponsiveness,FALSE
long downsweep,FALSE
fast swimming,FALSE
previous finding,FALSE
shaded,FALSE
sex interaction,FALSE
axis of body,FALSE
longitudinal axis of body,FALSE
trappe,FALSE
online training,FALSE
kjoc score,FALSE
base,FALSE
body posture,FALSE
effect of training load,FALSE
majority of set,FALSE
fog fiber,FALSE
single arm amputee,FALSE
exercise and sport science,FALSE
etiology,FALSE
hiit training,FALSE
performance difference,FALSE
deep catch,FALSE
variant line,FALSE
methacholine challenge,FALSE
analysis of variance,FALSE
standardized relay exchange time training,FALSE
swimming rule,FALSE
eastern zone,FALSE
altitude of 2300m,FALSE
simulated altitude of 2300m,FALSE
performance deficit,FALSE
freestyle swimmer,FALSE
practice content,FALSE
state swimming,FALSE
intense exercise,FALSE
positive rspg,FALSE
fatigability,FALSE
metabolite accumulation,FALSE
muscular contraction,FALSE
faculty of sport,FALSE
postural alignment,FALSE
time swimmer,FALSE
activation theory of stress,FALSE
time point,FALSE
late childhood,FALSE
propulsive force graph,FALSE
coach sample,FALSE
clinic of north america,FALSE
statistical test,FALSE
time difference,FALSE
datum point,FALSE
cardiac output,FALSE
competition result,FALSE
exit of hand,FALSE
higher-performing swimmer,FALSE
straight-line,FALSE
morphological,FALSE
slow-twitch,FALSE
propulsive phase of arm stroke,FALSE
early environmental factor,FALSE
leg kick,FALSE
mode of dissemination,FALSE
great asymmetry,FALSE
sprint athlete,FALSE
sprint race,FALSE
olympic swimmer,FALSE
biol,FALSE
marine animal,FALSE
cumulative mile,FALSE
effort and heart rate,FALSE
future research,FALSE
ramp effect,FALSE
ramp effect of muscle,FALSE
meter race,FALSE
morphology,FALSE
pressure be great,FALSE
strong force,FALSE
wave propulsion,FALSE
cognitive activation theory,FALSE
maximal exercise,FALSE
hydration,FALSE
dynamometer,FALSE
swim team,FALSE
olympic swim team,FALSE
loss of velocity,FALSE
level of swimmer,FALSE
siders,FALSE
physiological capacity,FALSE
technique training,FALSE
biophysical parameter,FALSE
glycogen store,FALSE
muscle glycogen store,FALSE
final stage preparation,FALSE
slow,FALSE
finding of study,FALSE
study finding,FALSE
breathing action,FALSE
katch,FALSE
scapular stabilization,FALSE
push-up,FALSE
function of olympiad,FALSE
train-low,FALSE
rate of energy release,FALSE
recreational swimming background,FALSE
international center,FALSE
medley relay,FALSE
medalist and former world,FALSE
humerus,FALSE
resting length of muscle,FALSE
improvement of vo2max,FALSE
athletic trainer,FALSE
analysis of swimmer,FALSE
positive psychological mechanism,FALSE
mastery-involving climate,FALSE
direct measurement,FALSE
stroke count,FALSE
magnitude of force,FALSE
anaerobic glycolysis,FALSE
body position,FALSE
anaerobic performance,FALSE
capillarization,FALSE
integrative and comparative physiology,FALSE
breathing side,FALSE
preferred breathing side,FALSE
definite preferred breathing side,FALSE
electrolyte,FALSE
achievement goal,FALSE
master thesis,FALSE
unpublished master thesis,FALSE
capacity of fast twitch,FALSE
phys,FALSE
repeated measure,FALSE
adolescent period,FALSE
recovery stress questionnaire,FALSE
immune function,FALSE
senior elite,FALSE
influence of training,FALSE
incidence of af,FALSE
adolescent swimmer,FALSE
work time,FALSE
female backstroker,FALSE
online overuse injury prevention,FALSE
result of experiment,FALSE
50th percentile,FALSE
effect of shape,FALSE
underwater,FALSE
average velocity,FALSE
overhead athlete,FALSE
competitive performance,FALSE
volume training,FALSE
optimization of training volume,FALSE
hyperextension,FALSE
traditional periodization,FALSE
time trial performance,FALSE
effect of force,FALSE
race pace,FALSE
stress load,FALSE
traditional two-peak stroke,FALSE
frequency analysis,FALSE
leg length discrepancy,FALSE
high level swimmer,FALSE
rvo2,FALSE
previous paper,FALSE
portion of time,FALSE
optimal nutrition,FALSE
shampoo arm syndrome,FALSE
bilateral symmetry,FALSE
preferred side,FALSE
high prevalence,FALSE
pb time,FALSE
minimally,FALSE
kind of training,FALSE
latency,FALSE
creatine monohydrate,FALSE
live-high,FALSE
swim distance,FALSE
model of performance improvement,FALSE
stroke choice,FALSE
swimming lesson,FALSE
occlusion,FALSE
geyssant,FALSE
backward component of motion,FALSE
crawl technique,FALSE
sport biomechanic,FALSE
short swim,FALSE
upward motion,FALSE
effect of high-intensity,FALSE
effect of high intensity,FALSE
adipose,FALSE
current research,FALSE
performance variable,FALSE
rest time,FALSE
big rest time,FALSE
training frequency,FALSE
lactate accumulation,FALSE
late teenage year,FALSE
normal population,FALSE
female athlete,FALSE
significant time effect,FALSE
world swimming championship,FALSE
low bmis,FALSE
